SNMPTRAP-netScaler-NS-ROOT-MIB-haPropSuccess	2	2	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-haSecondaryStateNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-haSyncFailure	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-haSyncSucceded	2	2	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-haVersionMatched	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-haVersionMismatch	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-hardDiskDriveErrors	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-inbandProtocolVersionMismatch	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-interfaceBWUseHigh	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-interfaceBWUseNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-interfaceThroughputLow	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-interfaceThroughputNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-ipConflict	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-ipv6AddressDuplicated	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-linkDown	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-linkUp	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-lldpRemTablesChange	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-maxClients	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-maxClientsNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-memUtilization	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-memoryUtilization	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-memoryUtilizationNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-monProbeFailed	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-monRespTimeoutAboveThresh	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-monRespTimeoutBelowThresh	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-netScalerConfigChange	2	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-netScalerConfigSave	2	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-netScalerLoginFailure	2	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-platformPpsLimitPktDrop	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-platformPpsLimitThresholdHigh	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-platformPpsLimitThresholdNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-platformRateLimitPktDrop	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-platformRateLimitThresholdHigh	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-platformRateLimitThresholdNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-portAllocFailed	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-powerSupplyFailed	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-powerSupplyNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-rateLmtThresholdExceed	''	''	1800	10
