#system	nodestatus	realm	custtag	role	eihostname	hostenv	systemtype	oslevel
p1vsp01	BAD	g.ei.p1	SHARED	RETIRED	p1vsp01	PRD	SERVER.P6-550	
p1vsp02	BAD	g.ei.p1	SHARED	RETIRED	p1vsp02	PRD	SERVER.P6-550	
p1vsp03	BAD	g.ei.p1	SHARED	RETIRED	p1vsp03	PRD	SERVER.P6-550	
p1vsp04	LIVE	g.ei.p1	SHARED		p1vsp04	PRD	SERVER.P7-740	
p1vsp05	LIVE	g.ei.p1	SHARED		p1vsp05	PRD	SERVER.P7-750	
p1vsp06	LIVE	g.ei.p1	SHARED		p1vsp06	PRD	SERVER.P7-750	
p1vsp07	LIVE	g.ei.p1	SHARED		p1vsp07	PRD	SERVER.P7-740	
p1vsp08	LIVE	g.ei.p1	SHARED		p1vsp08	PRD	SERVER.P7-740	
p1vsp09	LIVE	g.ei.p1	SHARED		p1vsp09	PRD	SERVER.P7-780	
p1vsp10	LIVE	g.ei.p1	SHARED		p1vsp10	PRD	SERVER.P7-780	
p1vsp11	LIVE	g.ei.p1	SHARED		p1vsp11	PRD	SERVER.P7-780	
p1vsp12	LIVE	g.ei.p1	SHARED		p1vsp12	PRD	SERVER.P7-780	
p1vsp13	LIVE	g.ei.p1	SHARED		p1vsp13	PRD	SERVER.P7-750	
p1vsp14	LIVE	g.ei.p1	SHARED		p1vsp14	PRD	SERVER.P7-750	
p1vsp15	LIVE	g.ei.p1	SHARED		p1vsp15	PRD	SERVER.P7-750	
p1vsx01	BAD	g.ei.p1	SHARED		p1vsx01	PRD	SERVER.X3550	
p1vsx02	LIVE	g.ei.p1	SHARED		p1vsx02	PRD	SERVER.X3650	
p1vsx03	LIVE	g.ei.p1	SHARED		p1vsx03	PRD	SERVER.X3650	
p1vsx04	LIVE	g.ei.p1	SHARED		p1vsx04	PRD	SERVER.X3650	
p1vsx05	LIVE	g.ei.p1	SHARED		p1vsx05	PRD	SERVER.X3650	
p1vsx06	LIVE	g.ei.p1	SHARED		p1vsx06	PRD	SERVER.X3850	
